Posicao do objeto Virtual 1: X=-0,04862794, Y=-0,05682522, Z=0,411334
Posicao do objeto 1 Real no Unity: X=-0,4923563, Y=2,135322, Z=3,385007
Posicao do objeto Virtual 1: X=-0,04904959, Y=-0,05483115, Z=0,4199287
Posicao do objeto 1 Real no Unity: X=-0,5864173, Y=2,093987, Z=3,39735
Posicao do objeto Virtual 1: X=-0,04757828, Y=-0,05203247, Z=0,4233876
Posicao do objeto 1 Real no Unity: X=-0,5000792, Y=2,062289, Z=3,454492
Posicao do objeto Virtual 1: X=-0,04841194, Y=-0,05095482, Z=0,4298513
Posicao do objeto 1 Real no Unity: X=-0,4238458, Y=2,100875, Z=3,470393
Posicao do objeto Virtual 1: X=-0,05321875, Y=-0,05129248, Z=0,4406662
Posicao do objeto 1 Real no Unity: X=-0,3337121, Y=1,9986, Z=3,55597
Posicao do objeto Virtual 1: X=-0,05554849, Y=-0,04981029, Z=0,4430994
Posicao do objeto 1 Real no Unity: X=-0,3120067, Y=1,935048, Z=3,602088
Posicao do objeto Virtual 1: X=-0,05661207, Y=-0,04826587, Z=0,44595
Posicao do objeto 1 Real no Unity: X=-0,3570155, Y=1,891333, Z=3,625468
Posicao do objeto Virtual 1: X=-0,05655167, Y=-0,04669511, Z=0,4495819
Posicao do objeto 1 Real no Unity: X=-0,3498937, Y=1,890067, Z=3,638866
Posicao do objeto Virtual 1: X=-0,05531302, Y=-0,04544806, Z=0,4548141
Posicao do objeto 1 Real no Unity: X=-0,3780684, Y=1,955677, Z=3,620043
Posicao do objeto Virtual 1: X=-0,05619884, Y=-0,04508501, Z=0,464787
Posicao do objeto 1 Real no Unity: X=-0,4287713, Y=2,06715, Z=3,571517
Posicao do objeto Virtual 1: X=-0,05755752, Y=-0,04460406, Z=0,4766237
Posicao do objeto 1 Real no Unity: X=-0,326221, Y=2,046824, Z=3,618938
Posicao do objeto Virtual 1: X=-0,06049144, Y=-0,04300785, Z=0,483575
Posicao do objeto 1 Real no Unity: X=-0,2652354, Y=2,022242, Z=3,655848
Posicao do objeto Virtual 1: X=-0,06337926, Y=-0,04145008, Z=0,4890981
Posicao do objeto 1 Real no Unity: X=-0,3690048, Y=2,145228, Z=3,583396
Posicao do objeto Virtual 1: X=-0,06518561, Y=-0,04152131, Z=0,498147
Posicao do objeto 1 Real no Unity: X=-0,5920284, Y=2,310713, Z=3,441481
Posicao do objeto Virtual 1: X=-0,06709862, Y=-0,04138279, Z=0,5087501
