Posicao do objeto Virtual: X=-0,1251838, Y=-0,06462598, Z=0,2878634
Posicao do objeto Real no Unity: X=-0,7740766, Y=1,232651, Z=3,416416
Posicao do objeto Virtual: X=-0,1254955, Y=-0,06482524, Z=0,288021
Posicao do objeto Real no Unity: X=-0,764211, Y=1,226091, Z=3,420533
Posicao do objeto Virtual: X=-0,1253313, Y=-0,0649769, Z=0,2878709
Posicao do objeto Real no Unity: X=-0,7889125, Y=1,223448, Z=3,411078
Posicao do objeto Virtual: X=-0,1246852, Y=-0,06431172, Z=0,2874731
Posicao do objeto Real no Unity: X=-0,7623975, Y=1,235943, Z=3,419794
Posicao do objeto Virtual: X=-0,1254743, Y=-0,06553513, Z=0,2880386
Posicao do objeto Real no Unity: X=-0,7504693, Y=1,210373, Z=3,426232
Posicao do objeto Virtual: X=-0,1231907, Y=-0,06433105, Z=0,2873836
Posicao do objeto Real no Unity: X=-0,7372299, Y=1,216255, Z=3,429322
Posicao do objeto Virtual: X=-0,1232327, Y=-0,06473323, Z=0,2870827
Posicao do objeto Real no Unity: X=-0,8107615, Y=1,268264, Z=3,403969
Posicao do objeto Virtual: X=-0,1225582, Y=-0,06381707, Z=0,2919792
Posicao do objeto Real no Unity: X=-0,7428113, Y=1,255088, Z=3,431139
Posicao do objeto Virtual: X=-0,1213497, Y=-0,06257565, Z=0,2916707
Posicao do objeto Real no Unity: X=-0,7238829, Y=1,258018, Z=3,439875
Posicao do objeto Virtual: X=-0,1196452, Y=-0,06113881, Z=0,2928168
Posicao do objeto Real no Unity: X=-0,6832741, Y=1,238567, Z=3,451008
Posicao do objeto Virtual: X=-0,1153533, Y=-0,05802552, Z=0,2896085
Posicao do objeto Real no Unity: X=-0,7000213, Y=1,267171, Z=3,444156
Posicao do objeto Virtual: X=-0,1140853, Y=-0,05738373, Z=0,2913404
Posicao do objeto Real no Unity: X=-0,6767874, Y=1,257832, Z=3,453478
Posicao do objeto Virtual: X=-0,1118723, Y=-0,0554977, Z=0,2910832
Posicao do objeto Real no Unity: X=-0,6726832, Y=1,25685, Z=3,454494
Posicao do objeto Virtual: X=-0,1096435, Y=-0,05328106, Z=0,2904454
Posicao do objeto Real no Unity: X=-0,6575269, Y=1,248073, Z=3,459699
Posicao do objeto Virtual: X=-0,1076996, Y=-0,05065052, Z=0,2892219
Posicao do objeto Real no Unity: X=-0,6176351, Y=1,275131, Z=3,471227
Posicao do objeto Virtual: X=-0,09977168, Y=-0,04648572, Z=0,2907306
Posicao do objeto Real no Unity: X=-0,5645474, Y=1,273746, Z=3,487624
Posicao do objeto Virtual: X=-0,09429044, Y=-0,04234863, Z=0,2900664
Posicao do objeto Real no Unity: X=-0,5418756, Y=1,285909, Z=3,493341
Posicao do objeto Virtual: X=-0,09113872, Y=-0,04030713, Z=0,2904714
Posicao do objeto Real no Unity: X=-0,4863682, Y=1,264443, Z=3,508135
Posicao do objeto Virtual: X=-0,08783829, Y=-0,03825156, Z=0,2878613
Posicao do objeto Real no Unity: X=-0,4631126, Y=1,282943, Z=3,512841
Posicao do objeto Virtual: X=-0,08612639, Y=-0,03697015, Z=0,2885219
Posicao do objeto Real no Unity: X=-0,4105552, Y=1,275671, Z=3,529512
Posicao do objeto Virtual: X=-0,07817662, Y=-0,03565773, Z=0,2900575
Posicao do objeto Real no Unity: X=-0,31995, Y=1,25187, Z=3,553065
Posicao do objeto Virtual: X=-0,07458407, Y=-0,03525633, Z=0,289732
Posicao do objeto Real no Unity: X=-0,2370246, Y=1,182811, Z=3,576161
Posicao do objeto Virtual: X=-0,06517437, Y=-0,0346307, Z=0,2883681
Posicao do objeto Real no Unity: X=-0,1953185, Y=1,150774, Z=3,586148
Posicao do objeto Virtual: X=-0,06175181, Y=-0,03412198, Z=0,287084
Posicao do objeto Real no Unity: X=-0,1081948, Y=1,136846, Z=3,601214
Posicao do objeto Virtual: X=-0,05652341, Y=-0,03462526, Z=0,2866399
Posicao do objeto Real no Unity: X=0,008191586, Y=1,073282, Z=3,625446
Posicao do objeto Virtual: X=-0,04929206, Y=-0,03193969, Z=0,2862477
Posicao do objeto Real no Unity: X=0,0230996, Y=1,100242, Z=3,62728
Posicao do objeto Virtual: X=-0,04740074, Y=-0,03179091, Z=0,2881472
Posicao do objeto Real no Unity: X=0,08950824, Y=1,072515, Z=3,639814
Posicao do objeto Virtual: X=-0,04130119, Y=-0,03026865, Z=0,289431
Posicao do objeto Real no Unity: X=0,1546483, Y=1,041042, Z=3,648302
Posicao do objeto Virtual: X=-0,03400299, Y=-0,02961421, Z=0,2880815
Posicao do objeto Real no Unity: X=0,2028069, Y=1,010988, Z=3,656082
Posicao do objeto Virtual: X=-0,0304825, Y=-0,02865277, Z=0,288183
Posicao do objeto Real no Unity: X=0,1883628, Y=1,070758, Z=3,656222
Posicao do objeto Virtual: X=-0,01586744, Y=-0,02530879, Z=0,2899141
Posicao do objeto Real no Unity: X=0,2828679, Y=1,044247, Z=3,663699
Posicao do objeto Virtual: X=-0,008858383, Y=-0,02369349, Z=0,2882625
Posicao do objeto Real no Unity: X=0,3692417, Y=1,007722, Z=3,668323
Posicao do objeto Virtual: X=-0,001815736, Y=-0,02085944, Z=0,285531
Posicao do objeto Real no Unity: X=0,417255, Y=1,000994, Z=3,673254
Posicao do objeto Virtual: X=0,00269933, Y=-0,01886815, Z=0,2865274
Posicao do objeto Real no Unity: X=0,4357275, Y=0,9909874, Z=3,672318
Posicao do objeto Virtual: X=0,005050361, Y=-0,0169856, Z=0,2846389
Posicao do objeto Real no Unity: X=0,4928069, Y=0,9963008, Z=3,67223
Posicao do objeto Virtual: X=0,008539781, Y=-0,01662049, Z=0,2853956
Posicao do objeto Real no Unity: X=0,4958465, Y=0,9888873, Z=3,674672
Posicao do objeto Virtual: X=0,01332334, Y=-0,0147292, Z=0,2849388
Posicao do objeto Real no Unity: X=0,5083067, Y=1,001089, Z=3,672381
Posicao do objeto Virtual: X=0,01626845, Y=-0,01402369, Z=0,284353
Posicao do objeto Real no Unity: X=0,5507095, Y=0,9765177, Z=3,674961
Posicao do objeto Virtual: X=0,01895176, Y=-0,01289296, Z=0,2843146
Posicao do objeto Real no Unity: X=0,6090651, Y=1,065429, Z=3,675792
Posicao do objeto Virtual: X=0,02453358, Y=-0,009264201, Z=0,2915282
Posicao do objeto Real no Unity: X=0,5660291, Y=1,130998, Z=3,672691
Posicao do objeto Virtual: X=0,02521911, Y=-0,008250386, Z=0,294198
Posicao do objeto Real no Unity: X=0,5389574, Y=1,13416, Z=3,669824
Posicao do objeto Virtual: X=0,02509367, Y=-0,008342564, Z=0,2917945
