Posicao do objeto Virtual 1: X=0,01205814, Y=-0,06300028, Z=0,4196551
Posicao do objeto 1 Real no Unity: X=1,332162, Y=1,00582, Z=3,673794
Posicao do objeto Virtual 1: X=0,01245907, Y=-0,06468593, Z=0,4202549
Posicao do objeto 1 Real no Unity: X=1,310209, Y=1,009742, Z=3,690408
Posicao do objeto Virtual 1: X=0,0153621, Y=-0,06207137, Z=0,4240321
Posicao do objeto 1 Real no Unity: X=1,382915, Y=1,028392, Z=3,64252
Posicao do objeto Virtual 1: X=0,01419728, Y=-0,05534047, Z=0,4144635
Posicao do objeto 1 Real no Unity: X=1,26192, Y=1,052757, Z=3,682769
Posicao do objeto Virtual 1: X=0,009116963, Y=-0,06302828, Z=0,4180788
Posicao do objeto 1 Real no Unity: X=1,109564, Y=1,11312, Z=3,72155
Posicao do objeto Virtual 1: X=0,01335608, Y=-0,07111765, Z=0,4206398
Posicao do objeto 1 Real no Unity: X=1,362868, Y=1,115325, Z=3,659549
Posicao do objeto Virtual 1: X=0,01425165, Y=-0,06317292, Z=0,4290565
Posicao do objeto 1 Real no Unity: X=1,558668, Y=1,130615, Z=3,54538
Posicao do objeto Virtual 1: X=0,007635564, Y=-0,0678868, Z=0,4214491
Posicao do objeto 1 Real no Unity: X=1,417867, Y=0,8903944, Z=3,642328
Posicao do objeto Virtual 1: X=0,0009731352, Y=-0,07922452, Z=0,4197944
Posicao do objeto 1 Real no Unity: X=1,178418, Y=0,9614742, Z=3,725218
Posicao do objeto Virtual 1: X=-0,008893475, Y=-0,07686681, Z=0,4238698
Posicao do objeto 1 Real no Unity: X=1,156058, Y=1,006769, Z=3,730934
Posicao do objeto Virtual 1: X=-0,009846054, Y=-0,07325781, Z=0,4262246
Posicao do objeto 1 Real no Unity: X=1,105317, Y=1,068644, Z=3,747295
Posicao do objeto Virtual 1: X=-0,007425904, Y=-0,06732762, Z=0,4301066
Posicao do objeto 1 Real no Unity: X=1,184079, Y=1,010637, Z=3,726107
Posicao do objeto Virtual 1: X=-0,007659376, Y=-0,06460322, Z=0,425647
Posicao do objeto 1 Real no Unity: X=1,078016, Y=1,111863, Z=3,749737
Posicao do objeto Virtual 1: X=-0,0055978, Y=-0,06458867, Z=0,4298778
Posicao do objeto 1 Real no Unity: X=1,164399, Y=1,061619, Z=3,735731
Posicao do objeto Virtual 1: X=-0,00140705, Y=-0,06396629, Z=0,4301336
Posicao do objeto 1 Real no Unity: X=1,262025, Y=1,015717, Z=3,704755
Posicao do objeto Virtual 1: X=0,0008924305, Y=-0,06140552, Z=0,4259108
Posicao do objeto 1 Real no Unity: X=1,228315, Y=1,054353, Z=3,715583
Posicao do objeto Virtual 1: X=0,0007190704, Y=-0,06296718, Z=0,4293795
Posicao do objeto 1 Real no Unity: X=1,248092, Y=1,046475, Z=3,707456
Posicao do objeto Virtual 1: X=0,0001760274, Y=-0,06276007, Z=0,42801
Posicao do objeto 1 Real no Unity: X=1,263578, Y=1,019777, Z=3,70737
Posicao do objeto Virtual 1: X=0,0006714165, Y=-0,06494686, Z=0,428839
Posicao do objeto 1 Real no Unity: X=1,275944, Y=1,012012, Z=3,710836
Posicao do objeto Virtual 1: X=0,003896117, Y=-0,06442547, Z=0,4310696
Posicao do objeto 1 Real no Unity: X=1,332462, Y=1,019607, Z=3,689514
Posicao do objeto Virtual 1: X=0,004981369, Y=-0,06385083, Z=0,4309554
Posicao do objeto 1 Real no Unity: X=1,339433, Y=0,9866356, Z=3,68814
Posicao do objeto Virtual 1: X=0,003244802, Y=-0,07286941, Z=0,4312627
Posicao do objeto 1 Real no Unity: X=1,365538, Y=0,9275763, Z=3,68832
Posicao do objeto Virtual 1: X=0,005034432, Y=-0,07132435, Z=0,4317099
Posicao do objeto 1 Real no Unity: X=1,347623, Y=0,9429578, Z=3,697237
Posicao do objeto Virtual 1: X=0,006848916, Y=-0,06821325, Z=0,4322307
Posicao do objeto 1 Real no Unity: X=1,348258, Y=0,9586749, Z=3,69705
