real_x,real_y,real_z,virtual_x,virtual_y,virtual_z
0.7827056,0.7434916,3.662321,0.01961913,-0.04785562,0.2921047
0.7847608,0.7244912,3.665254,0.01997124,-0.04427704,0.2926768
0.7338515,0.8107431,3.666366,0.01774938,-0.04299465,0.2932501
0.7334031,0.791739,3.671309,0.01735765,-0.04158658,0.294715
0.7720324,0.7860272,3.667953,0.01570272,-0.043861,0.2957215
0.7332212,0.7431605,3.671405,0.01436147,-0.04925819,0.2944344
0.7535357,0.7369586,3.674225,0.01396924,-0.05288551,0.2986507
0.7368186,0.7404568,3.677221,0.01289801,-0.05540087,0.2999176
0.7582144,0.6879467,3.674291,0.01181297,-0.05662916,0.2992864
0.8060009,0.6820894,3.675697,0.01085424,-0.05855694,0.3039422
0.7075639,0.6572941,3.685499,0.006516874,-0.06617327,0.3039048
0.7588295,0.5723346,3.676575,0.004526198,-0.06625606,0.3016174
0.686794,0.5734621,3.685799,-0.0001970232,-0.06678457,0.3024321
0.6587982,0.5695673,3.690029,-0.001009271,-0.0664694,0.3029462
0.7329757,0.4722741,3.687633,-0.0010975,-0.06076175,0.3055531
0.4759798,0.7262032,3.715948,-0.006983101,-0.05308772,0.3107728
0.3596761,0.7163674,3.734857,0.0007256866,-0.04192013,0.3157437
0.3217421,1.125793,3.701546,-0.005597264,-0.04382968,0.3212976
0.4672604,0.915351,3.715028,-0.006392777,-0.0524874,0.3170135
0.4555188,0.8738598,3.711962,-0.007246077,-0.05369899,0.3137318
0.4603551,0.8337719,3.71477,-0.006248295,-0.05288856,0.3127071
0.4954881,0.8339465,3.714911,-0.006047249,-0.05393112,0.3140059
0.5591177,0.7829893,3.716949,-0.008148998,-0.05268022,0.3143805
0.299877,0.967625,3.70936,-0.01208127,-0.05525741,0.3184462
0.4057493,0.9289684,3.722179,-0.01478419,-0.05828536,0.3229616
0.4468814,0.8172359,3.720711,-0.01862904,-0.06105044,0.3180734
0.4187386,0.8434047,3.720428,-0.01997307,-0.06059627,0.3185451
0.3546349,0.8911592,3.718752,-0.02043054,-0.06172764,0.3199708
0.361135,0.8367174,3.720544,-0.0207819,-0.06462258,0.3189424
0.3760703,0.8760247,3.724587,-0.0190179,-0.06937479,0.3249776
0.4981214,0.7636437,3.736978,-0.0205639,-0.07267075,0.3284785
0.4831685,0.7220364,3.735865,-0.02307895,-0.07146016,0.3257079
0.3940766,0.7850317,3.739043,-0.02160326,-0.07207909,0.3273911
0.3188893,0.8862879,3.739489,-0.02189019,-0.0765283,0.3329782
0.2592393,0.9368997,3.734332,-0.02559191,-0.08190341,0.3353271
0.3434005,0.7736983,3.738379,-0.02785376,-0.08190248,0.3288264
0.3065164,0.792115,3.738075,-0.02746269,-0.08098651,0.3292669
0.2348126,0.864062,3.73129,-0.03011358,-0.09078357,0.3320384
0.3298146,0.7265684,3.7439,-0.02914208,-0.09132067,0.3315952
0.3171126,0.6996691,3.741427,-0.02909932,-0.09737697,0.3316022
0.3830788,0.6359028,3.741249,-0.03002504,-0.1060668,0.3328342
0.4217372,0.5773823,3.744729,-0.03140861,-0.115829,0.3352523
0.4762059,0.4659515,3.740384,-0.03116801,-0.1221626,0.3352679
0.422444,0.4582815,3.746158,-0.035027,-0.1294426,0.3372862
0.5277491,0.3644205,3.734663,-0.03547478,-0.1325124,0.3369751
0.5631553,0.3367804,3.737721,-0.035485,-0.1415642,0.3407605
0.5804055,0.3078005,3.736136,-0.03619781,-0.145398,0.3414726
0.6726787,0.1688275,3.720174,-0.03586394,-0.153866,0.3420948
0.7130137,0.121109,3.711419,-0.03612006,-0.1541285,0.3424327
0.7008747,0.1116647,3.713898,-0.03715566,-0.1596509,0.3436673
0.7529072,0.0701471,3.703322,-0.03539839,-0.1601955,0.3442662
0.7224675,0.03775978,3.703179,-0.03459275,-0.1589391,0.3436916
0.6675836,0.1248251,3.739221,-0.02743611,-0.1492591,0.3518473
0.7558472,0.1149668,3.731634,-0.02779683,-0.1418733,0.3510506
0.7243766,0.1804672,3.746264,-0.02588734,-0.1386978,0.3521006
0.7075838,0.2574277,3.755227,-0.025197,-0.1411871,0.3521297
0.7448192,0.1904025,3.744907,-0.02311641,-0.1498451,0.3530688
0.7887155,0.1526403,3.738911,-0.02213991,-0.1557987,0.3550997
0.8538536,0.07207146,3.722108,-0.02375335,-0.1625044,0.3569286
0.8673249,0.0413405,3.721061,-0.0240584,-0.1619243,0.3590198
0.9077407,-0.02347994,3.708497,-0.02479127,-0.157616,0.3606724
0.7737957,0.1369527,3.751395,-0.02361125,-0.1575177,0.3609768
1.444502,-0.561359,3.369368,-0.02778532,-0.1022452,0.3728585
0.7397519,-0.258804,3.660606,-0.01878124,-0.07072777,0.3644754
0.9702883,0.2550872,3.838176,-0.00628154,-0.02844894,0.3984733
0.7156739,0.9470323,3.886687,-0.02244705,0.001895785,0.3992404
0.3552737,1.294472,3.858503,-0.01716234,0.02435032,0.394726
-0.0572567,1.820699,3.682968,-0.02646637,0.04719412,0.3921247
-0.3035956,1.969579,3.567272,-0.03314501,0.02972758,0.395293
-0.1328488,1.747481,3.683223,-0.03710473,0.02003419,0.3938081
-0.1342533,1.713062,3.69644,-0.03907338,0.0190357,0.3938729
-0.1741774,1.724809,3.681657,-0.03874668,0.01793087,0.3919691
-0.1495231,1.696921,3.693302,-0.03559801,0.01435566,0.3925763
-0.0235481,1.616643,3.736256,-0.03378198,0.003774524,0.3969325
-0.09368187,1.599319,3.728708,-0.03194413,-0.002614439,0.3965014
-0.01626098,1.615621,3.750762,-0.026535,-0.003313005,0.4077777
