Posicao do objeto Virtual: X=0,01837838, Y=-0,05909717, Z=0,6033835
Posicao do objeto Real no Unity: X=-1,455322, Y=2,464571, Z=2,227064
Posicao do objeto Virtual: X=0,0184437, Y=-0,05970138, Z=0,6020092
Posicao do objeto Real no Unity: X=-1,493511, Y=2,456141, Z=2,182778
Posicao do objeto Virtual: X=0,0179109, Y=-0,06039327, Z=0,5976039
Posicao do objeto Real no Unity: X=-1,499554, Y=2,447007, Z=2,184238
Posicao do objeto Virtual: X=0,01791936, Y=-0,06076568, Z=0,5948064
Posicao do objeto Real no Unity: X=-1,519904, Y=2,445646, Z=2,153291
Posicao do objeto Virtual: X=0,01817709, Y=-0,06115854, Z=0,59297
Posicao do objeto Real no Unity: X=-1,531717, Y=2,449739, Z=2,119281
Posicao do objeto Virtual: X=0,01810002, Y=-0,06146669, Z=0,5901585
Posicao do objeto Real no Unity: X=-1,569306, Y=2,444443, Z=2,062899
Posicao do objeto Virtual: X=0,01821125, Y=-0,06190687, Z=0,5860882
Posicao do objeto Real no Unity: X=-1,600883, Y=2,442142, Z=1,989074
Posicao do objeto Virtual: X=0,01910728, Y=-0,06335324, Z=0,579182
Posicao do objeto Real no Unity: X=-1,606793, Y=2,446623, Z=1,954231
Posicao do objeto Virtual: X=0,02013183, Y=-0,06347108, Z=0,5758277
Posicao do objeto Real no Unity: X=-1,642961, Y=2,431328, Z=1,905364
Posicao do objeto Virtual: X=0,02084529, Y=-0,06384516, Z=0,5694297
Posicao do objeto Real no Unity: X=-1,672048, Y=2,430189, Z=1,827802
Posicao do objeto Virtual: X=0,02250129, Y=-0,06241941, Z=0,5620433
Posicao do objeto Real no Unity: X=-1,722494, Y=2,423208, Z=1,722489
Posicao do objeto Virtual: X=0,02489585, Y=-0,06167036, Z=0,5583073
Posicao do objeto Real no Unity: X=-1,771777, Y=2,400973, Z=1,638706
Posicao do objeto Virtual: X=0,02696204, Y=-0,06100845, Z=0,5509067
Posicao do objeto Real no Unity: X=-1,778411, Y=2,401227, Z=1,611409
Posicao do objeto Virtual: X=0,02792883, Y=-0,0595386, Z=0,5480361
Posicao do objeto Real no Unity: X=-1,776024, Y=2,409292, Z=1,57489
Posicao do objeto Virtual: X=0,03090024, Y=-0,05549628, Z=0,5426138
Posicao do objeto Real no Unity: X=-1,776442, Y=2,410233, Z=1,568493
Posicao do objeto Virtual: X=0,03208917, Y=-0,05443645, Z=0,5418595
Posicao do objeto Real no Unity: X=-1,790159, Y=2,400675, Z=1,527708
Posicao do objeto Virtual: X=0,03225362, Y=-0,05439603, Z=0,5340716
Posicao do objeto Real no Unity: X=-1,780436, Y=2,408689, Z=1,481861
Posicao do objeto Virtual: X=0,03125733, Y=-0,05337489, Z=0,5220562
Posicao do objeto Real no Unity: X=-1,784634, Y=2,404699, Z=1,464829
Posicao do objeto Virtual: X=0,0309481, Y=-0,05387771, Z=0,5183067
Posicao do objeto Real no Unity: X=-1,784758, Y=2,401485, Z=1,461622
Posicao do objeto Virtual: X=0,03030568, Y=-0,05468059, Z=0,5154842
Posicao do objeto Real no Unity: X=-1,799527, Y=2,398702, Z=1,41492
Posicao do objeto Virtual: X=0,02991205, Y=-0,05550301, Z=0,5151622
Posicao do objeto Real no Unity: X=-1,797616, Y=2,396006, Z=1,411487
Posicao do objeto Virtual: X=0,02975243, Y=-0,05663228, Z=0,5122697
Posicao do objeto Real no Unity: X=-1,796141, Y=2,390209, Z=1,413158
Posicao do objeto Virtual: X=0,02989006, Y=-0,05797714, Z=0,5084821
Posicao do objeto Real no Unity: X=-1,815142, Y=2,377735, Z=1,363329
Posicao do objeto Virtual: X=0,03066528, Y=-0,05903918, Z=0,5043834
Posicao do objeto Real no Unity: X=-1,82298, Y=2,374219, Z=1,338455
Posicao do objeto Virtual: X=0,03208816, Y=-0,05945694, Z=0,505142
Posicao do objeto Real no Unity: X=-1,818131, Y=2,368724, Z=1,330621
Posicao do objeto Virtual: X=0,03346103, Y=-0,06165153, Z=0,5004026
Posicao do objeto Real no Unity: X=-1,81622, Y=2,366155, Z=1,335534
Posicao do objeto Virtual: X=0,0333358, Y=-0,06266379, Z=0,4990678
Posicao do objeto Real no Unity: X=-1,823108, Y=2,366973, Z=1,313671
Posicao do objeto Virtual: X=0,03325695, Y=-0,06275833, Z=0,5015376
Posicao do objeto Real no Unity: X=-1,814588, Y=2,367873, Z=1,33171
Posicao do objeto Virtual: X=0,03293461, Y=-0,06328487, Z=0,4992603
Posicao do objeto Real no Unity: X=-1,822225, Y=2,355985, Z=1,317661
